"type"      , "Status"  , "Amount_In_Dollars", "Original_Date"           , "Traded_Time", "Last_Updated"                 , "Deposit_Type", "Fee_In_Dollars", "Market_Title", "Market_Ticker"          , "Market_Id"                           , "Filled", "Remaining", "Direction", "Order_Type", "Price_In_Cents", "No_Contracts_Owned", "No_Contracts_Average_Price_In_Cents", "Yes_Contracts_Owned", "Yes_Contracts_Average_Price_In_Cents", "Result", "Profit_In_Dollars", "Credit_Reason"                                  , "Credit_Type", "Introducing_Broker"
"Deposit"   , "Applied" , "20"               , "2026-05-09T19:20:50.009Z", ""           , "May 9, 2026 at 3:20:50 PM EDT", "apm"         , "0"             , ""            , ""                       , ""                                    , ""      , ""         , ""         , ""          , ""              , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , ""                                               , ""           , ""
"Settlement", ""        , ""                 , "2026-05-09T19:15:16.998Z", ""           , ""                             , ""            , ""              , ""            , "KXBTC15M-26MAY091515-15", ""                                    , ""      , ""         , ""         , ""          , ""              , "0"                 , "0.00"                               , "11"                 , "0.30"                                , "no"    , "0.00"             , ""                                               , ""           , ""
"Order"     , "Filled"  , ""                 , "2026-05-09T19:12:25.974Z", ""           , ""                             , ""            , ""              , ""            , "KXBTC15M-26MAY091515-15", "61e4030b-10f4-4d82-81bf-d4d54274154d", "4.7"   , "0"        , ""         , ""          , ""              , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , ""                                               , ""           , ""
"Trade"     , ""        , "4.7"              , "2026-05-09T19:12:25.974Z", "3:12pm EDT" , ""                             , ""            , "0.03"          , ""            , "KXBTC15M-26MAY091515-15", "61e4030b-10f4-4d82-81bf-d4d54274154d", ""      , ""         , "Yes"      , "Taker"     , "9"             , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , ""                                               , ""           , ""
"Order"     , "Filled"  , ""                 , "2026-05-09T19:07:06.942Z", ""           , ""                             , ""            , ""              , ""            , "KXBTC15M-26MAY091515-15", "61e4030b-10f4-4d82-81bf-d4d54274154d", "2.98"  , "0"        , ""         , ""          , ""              , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , ""                                               , ""           , ""
"Trade"     , ""        , "2.98"             , "2026-05-09T19:07:06.942Z", "3:07pm EDT" , ""                             , ""            , "0.04"          , ""            , "KXBTC15M-26MAY091515-15", "61e4030b-10f4-4d82-81bf-d4d54274154d", ""      , ""         , "Yes"      , "Taker"     , "32"            , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , ""                                               , ""           , ""
"Order"     , "Filled"  , ""                 , "2026-05-09T19:06:11.301Z", ""           , ""                             , ""            , ""              , ""            , "KXBTC15M-26MAY091515-15", "61e4030b-10f4-4d82-81bf-d4d54274154d", "3.94"  , "0"        , ""         , ""          , ""              , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , ""                                               , ""           , ""
"Trade"     , ""        , "3.94"             , "2026-05-09T19:06:11.301Z", "3:06pm EDT" , ""                             , ""            , "0.07"          , ""            , "KXBTC15M-26MAY091515-15", "61e4030b-10f4-4d82-81bf-d4d54274154d", ""      , ""         , "Yes"      , "Taker"     , "48"            , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , ""                                               , ""           , ""
"Settlement", ""        , ""                 , "2026-05-09T19:00:17.003Z", ""           , ""                             , ""            , ""              , ""            , "KXBTC15M-26MAY091500-00", ""                                    , ""      , ""         , ""         , ""          , ""              , "0"                 , "0.00"                               , "2"                  , "0.46"                                , "no"    , "0.00"             , ""                                               , ""           , ""
"Order"     , "Filled"  , ""                 , "2026-05-09T18:55:33.678Z", ""           , ""                             , ""            , ""              , ""            , "KXBTC15M-26MAY091500-00", "25079647-2ef1-4c34-9dd3-f11ea564de6a", "2.34"  , "0"        , ""         , ""          , ""              , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , ""                                               , ""           , ""
"Trade"     , ""        , "2.34"             , "2026-05-09T18:55:33.678Z", "2:55pm EDT" , ""                             , ""            , "0.04"          , ""            , "KXBTC15M-26MAY091500-00", "25079647-2ef1-4c34-9dd3-f11ea564de6a", ""      , ""         , "Yes"      , "Taker"     , "39"            , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , ""                                               , ""           , ""
"Settlement", ""        , ""                 , "2026-05-09T18:30:16.991Z", ""           , ""                             , ""            , ""              , ""            , "KXETH15M-26MAY091430-30", ""                                    , ""      , ""         , ""         , ""          , ""              , "0"                 , "0.00"                               , "0"                  , "0.00"                                , "yes"   , "0.00"             , ""                                               , ""           , ""
"Order"     , "Canceled", ""                 , "2026-05-09T18:23:24.209Z", ""           , ""                             , ""            , ""              , ""            , "KXETH15M-26MAY091430-30", "3531ac20-7c1b-4110-8c2a-fc1b5dc0c3ea", "0"     , "0"        , ""         , ""          , ""              , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , ""                                               , ""           , ""
"Order"     , "Canceled", ""                 , "2026-05-09T18:23:24.209Z", ""           , ""                             , ""            , ""              , ""            , "KXETH15M-26MAY091430-30", "3531ac20-7c1b-4110-8c2a-fc1b5dc0c3ea", "0"     , "0"        , ""         , ""          , ""              , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , ""                                               , ""           , ""
"Settlement", ""        , ""                 , "2026-05-09T18:15:17.005Z", ""           , ""                             , ""            , ""              , ""            , "KXBTC15M-26MAY091415-15", ""                                    , ""      , ""         , ""         , ""          , ""              , "0"                 , "0.00"                               , "231"                , "0.00"                                , "no"    , "0.00"             , ""                                               , ""           , ""
"Settlement", ""        , ""                 , "2026-05-09T18:15:16.994Z", ""           , ""                             , ""            , ""              , ""            , "KXETH15M-26MAY091415-15", ""                                    , ""      , ""         , ""         , ""          , ""              , "4"                 , "0.13"                               , "4"                  , "0.70"                                , "yes"   , "0.00"             , ""                                               , ""           , ""
"Order"     , "Filled"  , ""                 , "2026-05-09T18:14:41.159Z", ""           , ""                             , ""            , ""              , ""            , "KXBTC15M-26MAY091415-15", "510763b5-3e74-48dd-be5a-fbcc6915d1fa", "231.4" , "0"        , ""         , ""          , ""              , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , ""                                               , ""           , ""
"Trade"     , ""        , "231.4"            , "2026-05-09T18:14:41.159Z", "2:14pm EDT" , ""                             , ""            , "0.07"          , ""            , "KXBTC15M-26MAY091415-15", "510763b5-3e74-48dd-be5a-fbcc6915d1fa", ""      , ""         , "Yes"      , "Taker"     , "0"             , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , ""                                               , ""           , ""
"Order"     , "Filled"  , ""                 , "2026-05-09T18:13:43.672Z", ""           , ""                             , ""            , ""              , ""            , "KXETH15M-26MAY091415-15", "39bc7dbc-bf3b-4e13-9898-7b5d6f7bff04", "4.31"  , "0"        , ""         , ""          , ""              , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , ""                                               , ""           , ""
"Trade"     , ""        , "4.31"             , "2026-05-09T18:13:43.672Z", "2:13pm EDT" , ""                             , ""            , "0.07"          , ""            , "KXETH15M-26MAY091415-15", "39bc7dbc-bf3b-4e13-9898-7b5d6f7bff04", ""      , ""         , "Yes"      , "Taker"     , "65"            , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , ""                                               , ""           , ""
"Order"     , "Filled"  , ""                 , "2026-05-09T18:10:12.254Z", ""           , ""                             , ""            , ""              , ""            , "KXETH15M-26MAY091415-15", "39bc7dbc-bf3b-4e13-9898-7b5d6f7bff04", "4.31"  , "0"        , ""         , ""          , ""              , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , ""                                               , ""           , ""
"Trade"     , ""        , "0.31"             , "2026-05-09T18:10:12.254Z", "2:10pm EDT" , ""                             , ""            , "0.00"          , ""            , "KXETH15M-26MAY091415-15", "39bc7dbc-bf3b-4e13-9898-7b5d6f7bff04", ""      , ""         , "No"       , "Taker"     , "88"            , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , ""                                               , ""           , ""
"Trade"     , ""        , "4"                , "2026-05-09T18:10:12.254Z", "2:10pm EDT" , ""                             , ""            , "0.03"          , ""            , "KXETH15M-26MAY091415-15", "39bc7dbc-bf3b-4e13-9898-7b5d6f7bff04", ""      , ""         , "No"       , "Taker"     , "88"            , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , ""                                               , ""           , ""
"Settlement", ""        , ""                 , "2026-05-09T18:00:16.961Z", ""           , ""                             , ""            , ""              , ""            , "KXBTC15M-26MAY091400-00", ""                                    , ""      , ""         , ""         , ""          , ""              , "0"                 , "0.00"                               , "47"                 , "0.07"                                , "no"    , "0.00"             , ""                                               , ""           , ""
"Order"     , "Filled"  , ""                 , "2026-05-09T17:58:30.062Z", ""           , ""                             , ""            , ""              , ""            , "KXBTC15M-26MAY091400-00", "1682feb7-fd0a-4358-8dba-31b4a694bb94", "42.67" , "0"        , ""         , ""          , ""              , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , ""                                               , ""           , ""
"Trade"     , ""        , "42.67"            , "2026-05-09T17:58:30.062Z", "1:58pm EDT" , ""                             , ""            , "0.05"          , ""            , "KXBTC15M-26MAY091400-00", "1682feb7-fd0a-4358-8dba-31b4a694bb94", ""      , ""         , "Yes"      , "Taker"     , "1"             , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , ""                                               , ""           , ""
"Order"     , "Canceled", ""                 , "2026-05-09T17:58:25.106Z", ""           , ""                             , ""            , ""              , ""            , "KXBTC15M-26MAY091400-00", "1682feb7-fd0a-4358-8dba-31b4a694bb94", "0"     , "0"        , ""         , ""          , ""              , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , ""                                               , ""           , ""
"Order"     , "Canceled", ""                 , "2026-05-09T17:58:25.106Z", ""           , ""                             , ""            , ""              , ""            , "KXBTC15M-26MAY091400-00", "1682feb7-fd0a-4358-8dba-31b4a694bb94", "0"     , "0"        , ""         , ""          , ""              , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , ""                                               , ""           , ""
"Order"     , "Canceled", ""                 , "2026-05-09T17:58:21.336Z", ""           , ""                             , ""            , ""              , ""            , "KXBTC15M-26MAY091400-00", "1682feb7-fd0a-4358-8dba-31b4a694bb94", "0"     , "0"        , ""         , ""          , ""              , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , ""                                               , ""           , ""
"Order"     , "Canceled", ""                 , "2026-05-09T17:58:21.335Z", ""           , ""                             , ""            , ""              , ""            , "KXBTC15M-26MAY091400-00", "1682feb7-fd0a-4358-8dba-31b4a694bb94", "0"     , "0"        , ""         , ""          , ""              , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , ""                                               , ""           , ""
"Order"     , "Filled"  , ""                 , "2026-05-09T17:47:10.844Z", ""           , ""                             , ""            , ""              , ""            , "KXBTC15M-26MAY091400-00", "1682feb7-fd0a-4358-8dba-31b4a694bb94", "5.12"  , "0"        , ""         , ""          , ""              , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , ""                                               , ""           , ""
"Trade"     , ""        , "5.12"             , "2026-05-09T17:47:10.844Z", "1:47pm EDT" , ""                             , ""            , "0.09"          , ""            , "KXBTC15M-26MAY091400-00", "1682feb7-fd0a-4358-8dba-31b4a694bb94", ""      , ""         , "Yes"      , "Taker"     , "46"            , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , ""                                               , ""           , ""
"Settlement", ""        , ""                 , "2026-05-09T17:45:16.993Z", ""           , ""                             , ""            , ""              , ""            , "KXETH15M-26MAY091345-45", ""                                    , ""      , ""         , ""         , ""          , ""              , "0"                 , "0.00"                               , "0"                  , "0.00"                                , "no"    , "0.00"             , ""                                               , ""           , ""
"Order"     , "Canceled", ""                 , "2026-05-09T17:43:09.200Z", ""           , ""                             , ""            , ""              , ""            , "KXETH15M-26MAY091345-45", "fe4ef4e1-a2a4-482d-85ad-ae4558adb2ca", "0"     , "0"        , ""         , ""          , ""              , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , ""                                               , ""           , ""
"Order"     , "Canceled", ""                 , "2026-05-09T17:43:09.200Z", ""           , ""                             , ""            , ""              , ""            , "KXETH15M-26MAY091345-45", "fe4ef4e1-a2a4-482d-85ad-ae4558adb2ca", "0"     , "0"        , ""         , ""          , ""              , ""                  , ""                                   , ""                   , ""                                    , ""      , ""                 , ""                                               , ""           , ""
